WIID,Description,Type,Status,Date
106687928,Research Client Check Copy,WI2,Open,2020-07-08
106687976,Verify Account Position,WI1,Open,2018-03-02
106687956,Research Client Check Copy,WI2,Open,2021-09-13
106687965,Verify Account Position,WI1,Open,2018-06-10
106687942,Research Client Check Copy,WI2,Open,2021-01-25
106687997,Verify Account Position,WI1,Open,2017-07-29
106687955,Research Client Check Copy,WI2,Open,2023-09-06
106687988,Verify Account Position,WI1,Open,2017-07-19
106687918,Research Client Check Copy,WI2,Open,2017-12-02
106687899,Generate Yearly Report for Vendor,WI4,Open,2017-12-21
106687995,Verify Account Position,WI1,Open,2021-05-07
106687915,Research Client Check Copy,WI2,Open,2021-01-28
106687987,Verify Account Position,WI1,Open,2025-05-10
106687996,Verify Account Position,WI1,Open,2025-07-04
106687893,Generate Yearly Report for Vendor,WI4,Open,2019-04-22
106687908,Process Vendor Invoice,WI3,Open,2025-05-03
106687979,Verify Account Position,WI1,Open,2025-01-24
106687960,Research Client Check Copy,WI2,Open,2017-06-09
106687884,Calculate Client Security Hash,WI5,Open,2019-07-30
106687892,Generate Yearly Report for Vendor,WI4,Open,2019-03-05
106687992,Verify Account Position,WI1,Open,2022-02-06
106687989,Verify Account Position,WI1,Open,2020-01-11
106687882,Calculate Client Security Hash,WI5,Open,2023-12-17
106687983,Verify Account Position,WI1,Open,2022-09-07
106687906,Process Vendor Invoice,WI3,Open,2018-10-29
106687935,Research Client Check Copy,WI2,Open,2018-10-05
106687994,Verify Account Position,WI1,Open,2021-01-14
106687947,Research Client Check Copy,WI2,Open,2021-12-07
106687982,Verify Account Position,WI1,Open,2020-10-13
106687993,Verify Account Position,WI1,Open,2019-06-02
106687950,Research Client Check Copy,WI2,Open,2018-10-28
106687939,Research Client Check Copy,WI2,Open,2023-03-13
106687973,Verify Account Position,WI1,Open,2017-01-17
106687880,Calculate Client Security Hash,WI5,Open,2017-06-07
106687986,Verify Account Position,WI1,Open,2019-04-02
106687964,Verify Account Position,WI1,Open,2024-07-12
106687946,Research Client Check Copy,WI2,Open,2017-04-29
106687902,Process Vendor Invoice,WI3,Open,2020-09-26
106687949,Research Client Check Copy,WI2,Open,2022-02-10
106687980,Verify Account Position,WI1,Open,2025-02-24
106687890,Calculate Client Security Hash,WI5,Open,2018-07-25
106687959,Research Client Check Copy,WI2,Open,2020-05-27
106687916,Research Client Check Copy,WI2,Open,2022-01-06
106687914,Process Vendor Invoice,WI3,Open,2018-07-01
106687900,Generate Yearly Report for Vendor,WI4,Open,2025-06-15
106687957,Research Client Check Copy,WI2,Open,2017-03-08
106687887,Calculate Client Security Hash,WI5,Open,2020-07-13
106687907,Process Vendor Invoice,WI3,Open,2021-02-12
106687978,Verify Account Position,WI1,Open,2024-09-03
106687904,Process Vendor Invoice,WI3,Open,2023-09-22
106687877,Calculate Client Security Hash,WI5,Open,2020-03-24
106687998,Verify Account Position,WI1,Open,2018-01-17
106687972,Verify Account Position,WI1,Open,2018-12-26
106687943,Research Client Check Copy,WI2,Open,2022-06-21
106687876,Calculate Client Security Hash,WI5,Open,2018-05-02
106687954,Research Client Check Copy,WI2,Open,2021-09-05
106687875,Calculate Client Security Hash,WI5,Open,2019-07-06
106687912,Process Vendor Invoice,WI3,Open,2020-03-25
106687881,Calculate Client Security Hash,WI5,Open,2021-08-07
106687910,Process Vendor Invoice,WI3,Open,2018-12-22
106687888,Calculate Client Security Hash,WI5,Open,2023-11-21
106687958,Research Client Check Copy,WI2,Open,2022-01-16
106687975,Verify Account Position,WI1,Open,2021-06-29
106687933,Research Client Check Copy,WI2,Open,2023-08-28
106687990,Verify Account Position,WI1,Open,2017-04-16
106687923,Research Client Check Copy,WI2,Open,2022-04-05
106687961,Research Client Check Copy,WI2,Open,2025-03-14
106687873,Calculate Client Security Hash,WI5,Open,2018-08-25
106687971,Verify Account Position,WI1,Open,2019-07-29
106687985,Verify Account Position,WI1,Open,2024-12-02
106687898,Generate Yearly Report for Vendor,WI4,Open,2023-04-13
106687931,Research Client Check Copy,WI2,Open,2021-07-06
106687921,Research Client Check Copy,WI2,Open,2017-02-04
106687927,Research Client Check Copy,WI2,Open,2025-01-10
106687977,Verify Account Position,WI1,Open,2025-03-23
106687966,Verify Account Position,WI1,Open,2018-01-07
106687981,Verify Account Position,WI1,Open,2020-09-04
106687936,Research Client Check Copy,WI2,Open,2023-03-26
106687934,Research Client Check Copy,WI2,Open,2019-05-17
106687891,Calculate Client Security Hash,WI5,Open,2022-09-11
106687925,Research Client Check Copy,WI2,Open,2020-09-17
106687938,Research Client Check Copy,WI2,Open,2022-11-24
106687895,Generate Yearly Report for Vendor,WI4,Open,2018-02-16
106687991,Verify Account Position,WI1,Open,2024-06-24
106687885,Calculate Client Security Hash,WI5,Open,2020-03-18
106687924,Research Client Check Copy,WI2,Open,2017-02-15
106687944,Research Client Check Copy,WI2,Open,2019-07-21
106687901,Generate Yearly Report for Vendor,WI4,Open,2022-12-05
106687911,Process Vendor Invoice,WI3,Open,2022-08-26
106687926,Research Client Check Copy,WI2,Open,2022-09-27
106687941,Research Client Check Copy,WI2,Open,2024-02-21
106687945,Research Client Check Copy,WI2,Open,2023-05-13
106687922,Research Client Check Copy,WI2,Open,2020-03-08
106687905,Process Vendor Invoice,WI3,Open,2024-07-22
106687886,Calculate Client Security Hash,WI5,Open,2021-03-03
106687874,Calculate Client Security Hash,WI5,Open,2019-08-29
106687920,Research Client Check Copy,WI2,Open,2023-08-24
106687953,Research Client Check Copy,WI2,Open,2024-10-25
106687932,Research Client Check Copy,WI2,Open,2023-02-17
106687948,Research Client Check Copy,WI2,Open,2021-09-10
106687913,Process Vendor Invoice,WI3,Open,2025-05-17
106687951,Research Client Check Copy,WI2,Open,2024-09-04
106687967,Verify Account Position,WI1,Open,2017-12-02
106687894,Generate Yearly Report for Vendor,WI4,Open,2021-03-30
106687929,Research Client Check Copy,WI2,Open,2024-04-30
106687940,Research Client Check Copy,WI2,Open,2023-02-11
106687883,Calculate Client Security Hash,WI5,Open,2022-02-11
106687872,Calculate Client Security Hash,WI5,Open,2025-01-13
106687970,Verify Account Position,WI1,Open,2018-01-25
106687974,Verify Account Position,WI1,Open,2021-02-01
106687909,Process Vendor Invoice,WI3,Open,2021-06-17
106687930,Research Client Check Copy,WI2,Open,2021-07-09
106687963,Verify Account Position,WI1,Open,2024-07-15
106687878,Calculate Client Security Hash,WI5,Open,2017-06-17
106687903,Process Vendor Invoice,WI3,Open,2022-05-09
106687968,Verify Account Position,WI1,Open,2019-10-30
106687889,Calculate Client Security Hash,WI5,Open,2018-02-02
106687919,Research Client Check Copy,WI2,Open,2018-03-10
106687897,Generate Yearly Report for Vendor,WI4,Open,2020-11-18
106687984,Verify Account Position,WI1,Open,2018-11-06
106687896,Generate Yearly Report for Vendor,WI4,Open,2022-10-25
106687879,Calculate Client Security Hash,WI5,Open,2020-12-06
106687962,Verify Account Position,WI1,Open,2025-04-24
106687937,Research Client Check Copy,WI2,Open,2018-07-03
106687952,Research Client Check Copy,WI2,Open,2017-03-07
106687969,Verify Account Position,WI1,Open,2022-11-09
106687917,Research Client Check Copy,WI2,Open,2018-02-06
